Teammate ID,Capability Practice,Client Code,Period,ETA Achievement,Rework Rate,Req. Understanding Ratio,Meeting Overhead Ratio,Idle Rate,Effective Utilisation,Avg Time Per Task (hrs)
T-002,Webtech,CLIENT-01,May 2026,0.0625,0.0,0.0,0.0625,0.0,0.0625,10.0
T-003,Webtech,CLIENT-02,May 2026,0.828125,0.0,0.0,0.0875,0.0,0.828125,4.98333333333333
T-005,Data,CLIENT-04,May 2026,0.978125,0.0,0.0824468085106383,0.1,0.0,1.075,5.22222222222222
T-006,Search Advertising,CLIENT-04,May 2026,0.89375,0.0,0.0,0.0625,0.0,0.89375,6.66666666666667
T-007,Webtech,CLIENT-05,May 2026,0.89375,0.0,0.0,0.11875,0.0,0.89375,4.37837837837838
T-008,Calling Support,CLIENT-05,May 2026,0.25,0.0,0.0,0.025,0.0,0.25,27.5
T-009,Content,CLIENT-06,May 2026,1.0,0.036144578313253,0.0,0.0703125,0.0,1.0375,4.32317073170732
T-010,Graphics,CLIENT-06,May 2026,0.94375,0.050314465408805,0.0304709141274238,0.1,0.0,1.028125,1.96195652173913
T-011,Webtech,CLIENT-06,May 2026,1.025,0.0,0.0,0.15625,0.0,1.025,2.12359550561798
T-012,Data,CLIENT-06,May 2026,0.859375,0.0,0.0235988200589971,0.175,0.0,0.884375,9.97058823529412
T-013,Execution,CLIENT-06,May 2026,0.996875,0.0,0.0,0.159375,0.0,0.996875,2.10227272727273
T-014,Webtech,CLIENT-06,May 2026,0.809375,0.0,0.0,0.140625,0.0,0.809375,16.8888888888889
T-015,Webtech,CLIENT-06,May 2026,0.828125,0.0,0.0,0.134375,0.0,0.828125,12.8333333333333
T-016,Webtech,CLIENT-06,May 2026,0.86875,0.0,0.0,0.128125,0.0,0.86875,6.93478260869565
T-017,Webtech,CLIENT-06,May 2026,0.821875,0.0,0.0,0.13125,0.0,0.821875,11.7307692307692
T-018,Webtech,CLIENT-06,May 2026,0.390625,0.368686868686869,0.154676258992806,0.115625,0.0,0.753125,17.375
T-019,Execution,CLIENT-06,May 2026,1.025,0.0,0.0,0.06875,0.0,1.025,2.61194029850746
T-020,Webtech,CLIENT-06,May 2026,0.878125,0.0,0.0,0.0,0.0,0.878125,17.9375
T-021,Graphics,CLIENT-06,May 2026,0.246875,0.0,0.0,0.0,0.0,0.246875,1.88095238095238
T-022,Data,CLIENT-06,May 2026,0.03125,0.0,0.1,0.04375,0.15,0.05625,4.0
T-023,Search Advertising,CLIENT-06,May 2026,0.1125,0.0,0.0,0.028125,0.359375,0.1125,20.0
